"SCC.Level.Two" "SCC.Level.Three" "SCC.Level.Four"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Total: All Road Types"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Interstate: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Interstate: Rural Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Interstate: Rural Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Interstate: Rural Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Interstate: Rural Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Interstate: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Interstate: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Interstate: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Interstate: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Other Principal Arterial: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Other Principal Arterial: Rural Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Other Principal Arterial: Rural Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Other Principal Arterial: Rural Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Other Principal Arterial: Rural Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Other Principal Arterial: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Other Principal Arterial: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Other Principal Arterial: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Other Principal Arterial: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Minor Arterial: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Minor Arterial: Rural Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Minor Arterial: Rural Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Minor Arterial: Rural Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Minor Arterial: Rural Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Minor Arterial: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Minor Arterial: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Minor Arterial: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Minor Arterial: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Major Collector: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Major Collector: Rural Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Major Collector: Rural Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Major Collector: Rural Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Major Collector: Rural Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Major Collector: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Major Collector: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Major Collector: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Major Collector: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Minor Collector: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Minor Collector: Rural Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Minor Collector: Rural Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Minor Collector: Rural Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Minor Collector: Rural Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Minor Collector: Brake Wear"
